id,question,our_model_answer_bAPI,our_model_answer_aAPI,gpt_answer
15,Who painted the The Starry Night?,The Starry Night was painted by [QA('Who painted The Starry Night?')].,The Starry Night was painted by [Van Gogh].,The Starry Night was painted by the Dutch post-impressionist artist Vincent van Gogh in June 1889.
16,What is the name of the biggest desert in the world?,"The name of the biggest desert in the world is [QA(""What is the name of the world's largest desert by area?"")].","The name of the biggest desert in the world is [1. Antarctic Polar Desert. The Antarctic Polar Desert, which makes up the vast majority of Antarctica, is the largest desert in the world. In fact, this single desert is larger than the combined size of the Gobi Desert, the Arabian Desert, and the Sahara Desert.].",The name of the biggest desert in the world is the Sahara Desert.
17,Who wrote the novel The Great Gatsby?,The Great Gatsby was written by [QA('Who is the author of the novel The Great Gatsby?')].,The Great Gatsby was written by [F. Scott Fitzgerald].,The Great Gatsby was written by F. Scott Fitzgerald.
18,What is the name of the smallest continent?,The name of the smallest continent on Earth is [QA('What is the smallest continent on earth?')].,The name of the smallest continent on Earth is [[This type of question is not supported yet]].,The name of the smallest continent is Australia.
19,What is the name of the biggest river in Africa?,The name of the biggest river in Africa is [QA('What is the name of the biggest river in Africa?')].,The name of the biggest river in Africa is [The Nile].,"The name of the biggest river in Africa is Nile. It is about 6,650 kilometers (4,100 miles) in length and it flows through eleven countries of Africa, including Egypt, Sudan, Ethiopia, Uganda, and Kenya."
20,What is the currency of India?,The currency of India is the [QA('What is the currency of India?')].,The currency of India is the [The rupee].,The currency of India is Indian rupee (INR).
21,Who painted the The Last Supper?,The Last Supper was painted by [QA('Who painted The Last Supper painting?')].,The Last Supper was painted by [Leonardo da Vinci].,"""The Last Supper"" was painted by Leonardo da Vinci."
22,What is the name of the biggest island in the world?,The name of the biggest island in the world is [QA('What is the name of the biggest island in the world?')].,The name of the biggest island in the world is [[This type of question is not supported yet]].,The name of the biggest island in the world is Greenland.
23,Who wrote the novel To Kill a Mockingbird?,"""To Kill a Mockingbird"" was written by [QA('Who is the author of the novel To Kill a Mockingbird?')].","""To Kill a Mockingbird"" was written by [Harper Lee].",The novel To Kill a Mockingbird was written by Harper Lee.
24,What is the name of the biggest waterfall in the world?,The biggest waterfall in the world is called [QA('What is the name of the biggest waterfall in the world?')].,The biggest waterfall in the world is called [Angel Falls].,"The biggest waterfall in the world is called Angel Falls. It is located in Venezuela and has a height of 979 meters (3,212 feet)."
25,What is the main language spoken in Russia?,The main language spoken in Russia is [QA('What is the official language of Russia?')].,The main language spoken in Russia is [Russian language].,The main language spoken in Russia is Russian.
26,Who discovered penicillin?,The discovery of penicillin is credited to [QA('Who discovered penicillin?')].,The discovery of penicillin is credited to [Dr Alexander Fleming].,Penicillin was discovered by Sir Alexander Fleming in 1928.
27,What is the name of the highest waterfall in the world?,The highest waterfall in the world is [QA('What is the name of the highest waterfall in the world?')].,The highest waterfall in the world is [Angel Falls].,"The name of the highest waterfall in the world is Angel Falls. It is located in the Canaima National Park in the Gran Sabana region of Venezuela, and it has a total height of 979 meters (3,212 feet) and a plunge of 807 meters (2,648 feet)."
28,Who wrote the novel 1984?,The novel 1984 was written by [QA('Who is the author of the novel 1984?')].,The novel 1984 was written by [[This type of question is not supported yet]].,The novel 1984 was written by George Orwell.
29,What is the name of the biggest lake in the world?,The biggest lake in the world by volume is the [QA('What is the name of the biggest lake in the world by volume?')].,The biggest lake in the world by volume is the [Lake Baikal].,The name of the biggest lake in the world is the Caspian Sea.
30,What is the capital of France?,The capital of France is [QA('What is the capital of France?')].,The capital of France is [[This type of question is not supported yet]].,The capital of France is Paris.
31,Who painted the Girl with a Pearl Earring?,The Girl with a Pearl Earring was painted by [QA('Who painted the Girl with a Pearl Earring?')].,The Girl with a Pearl Earring was painted by [Johannes Vermeer].,The Girl with a Pearl Earring was painted by the Dutch artist Johannes Vermeer in 1665.
32,What is the name of the largest country in the world?,The largest country in the world is [QA('What is the name of the largest country by area?')].,The largest country in the world is [[This type of question is not supported yet]].,The largest country in the world is Russia.
33,What is the name of the largest mountain range in the world?,The name of the largest mountain range in the world is the [QA('What is the name of the largest mountain range in the world?')].,The name of the largest mountain range in the world is the [mid-ocean ridge].,"The largest mountain range in the world is the Andes, located in South America. It stretches for over 4,300 miles (7,000 kilometers) along the western coast of the continent."
34,Who wrote the play Romeo and Juliet?,The play Romeo and Juliet was written by [QA('Who is the author of Romeo and Juliet?')].,The play Romeo and Juliet was written by [Shakespeare].,The play Romeo and Juliet was written by William Shakespeare.
35,What is the main language spoken in China?,The main language spoken in China is [QA('What is the official language of China?')].,The main language spoken in China is [[This type of question is not supported yet]].,The main language spoken in China is Mandarin Chinese.
36,Who discovered the theory of relativity?,"The theory of relativity was [QA(""Who discovered the theory of relativity?"")] by a famous physicist named [QA(""What is the name of the physicist who formulated the theory of relativity?"")].",The theory of relativity was [Albert Einstein] by a famous physicist named [Albert Einstein].,"Albert Einstein discovered the theory of relativity in 1905 and 1915. There are two main types of relativity, special relativity and general relativity. Special relativity deals with the behavior of objects in motion and was introduced in 1905. General relativity deals with gravity and the curvature of spacetime and was introduced in 1915."
37,What is the name of the biggest stadium in the world?,The name of the biggest stadium in the world is [QA('What is the name of the biggest stadium in the world?')].,The name of the biggest stadium in the world is [[This type of question is not supported yet]].,"The name of the biggest stadium in the world is Rungrado 1st of May Stadium, located in Pyongyang, North Korea. It has a seating capacity of 150,000."
38,What is the name of the biggest palace in the world?,The biggest palace in the world is the [QA('What is the name of the biggest palace in the world?')].,The biggest palace in the world is the [Forbidden City].,"The name of the world's largest palace is the Palace of the Parliament in Bucharest, Romania. It covers an area of over 365,000 square meters and has more than 1,000 rooms."
39,What is the capital of Spain?,[QA('What is the capital of Spain?')],[[This type of question is not supported yet]],The capital of Spain is Madrid.
40,Who painted the The Persistence of Memory?,"The Persistence of Memory was painted by [QA(""Who painted The Persistence of Memory?"")].",The Persistence of Memory was painted by [[This type of question is not supported yet]].,The Persistence of Memory was painted by Salvador Dali.
41,What is the name of the biggest animal in the world?,The biggest animal in the world is the [QA('What is the name of the biggest animal in the world?')].,The biggest animal in the world is the [Antarctic blue whale].,The biggest animal in the world is the blue whale.
42,Who wrote the novel War and Peace?,The novel War and Peace was written by [QA('Who wrote War and Peace?')].,The novel War and Peace was written by [Leo Tolstoy].,The novel War and Peace was written by Leo Tolstoy.
43,What is the name of the biggest bird in the world?,The name of the biggest bird in the world is [QA('What is the name of the largest bird in the world?')].,The name of the biggest bird in the world is [the ostrich].,The name of the biggest bird in the world is the ostrich.
44,What is the name of the biggest fish in the world?,The biggest fish in the world is the [QA('What is the name of the biggest fish?')] and it can be found in [QA('Where can whale sharks be found?')].,The biggest fish in the world is the [Rhincodon typus or whale shark] and it can be found in [Australia is one of the most reliable locations to find whale sharks].,The name of the biggest fish in the world is the whale shark.
45,What is the main language spoken in Germany?,The official language spoken in Germany is [QA('What is the official language of Germany?')].,The official language spoken in Germany is [German].,The main language spoken in Germany is German.
46,Who discovered the law of gravity?,The law of gravity was discovered by [QA('Who discovered the law of gravity?')].,The law of gravity was discovered by [Isaac Newton].,The law of gravity was discovered by Sir Isaac Newton in the 17th century.
47,What is the name of the biggest reptile in the world?,The name of the biggest reptile in the world is the [QA('What is the name of the biggest reptile in the world?')].,The name of the biggest reptile in the world is the [Saltwater crocodiles].,The name of the biggest reptile in the world is the saltwater crocodile (also known as estuarine crocodile or saltie).
48,What is the name of the biggest mammal in the world?,The name of the biggest mammal in the world is [QA('What is the name of the biggest mammal in the world?')].,The name of the biggest mammal in the world is [Antarctic blue whale].,The biggest mammal in the world is the Blue Whale.
49,What is the capital of Italy?,The capital of Italy is [QA('What is the capital of Italy?')].,The capital of Italy is [Rome].,The capital city of Italy is Rome.
50,Who painted the The Birth of Venus?,"""The Birth of Venus"" was painted by [QA('Who painted The Birth of Venus painting?')].","""The Birth of Venus"" was painted by [[This type of question is not supported yet]].",The Birth of Venus was painted by Italian artist Sandro Botticelli in the late 15th century.
51,What is the name of the biggest carnivorous dinosaur?,"Spinosaurus is the largest carnivorous dinosaur known to have existed, with many specimens measuring over 50 feet in length.","Spinosaurus is the largest carnivorous dinosaur known to have existed, with many specimens measuring over 50 feet in length.",The biggest carnivorous dinosaur is called Spinosaurus.
52,What is the name of the biggest herbivorous dinosaur?,The name of the biggest herbivorous dinosaur is [QA('What is the name of the biggest herbivorous dinosaur?')].,The name of the biggest herbivorous dinosaur is [Argentinosaurus].,The name of the biggest herbivorous dinosaur is Argentinosaurus.
53,Who wrote the novel Don Quixote?,The novel Don Quixote was written by [QA('Who is the author of Don Quixote?')].,"The novel Don Quixote was written by [The remarkable life of Miguel de Cervantes and how it shaped his timeless tale, 'Don Quixote'].",The novel Don Quixote was written by Miguel de Cervantes.
54,What is the main language spoken in Mexico?,The main language spoken in Mexico is [QA('What is the official language of Mexico?')].,The main language spoken in Mexico is [[This type of question is not supported yet]].,The main language spoken in Mexico is Spanish.
55,What is the name of the biggest spider in the world?,The name of the biggest spider in the world is [QA('What is the name of the largest spider?')].,The name of the biggest spider in the world is [goliath bird-eater].,"The Goliath birdeater spider is considered the largest spider in the world by mass, weighing up to 6.2 ounces. It can have a leg span of up to 12 inches."
56,What is the name of the biggest snake in the world?,The biggest snake in the world is the [QA('What is the name of the biggest snake in the world?')].,"The biggest snake in the world is the [Reticulated Python Reticulated pythons are considered to be the longest snake. The world record for the length of a reticulated python is a whopping 32 ft and 9 ½ inches! Like the green anaconda, they are also excellent swimmers. Scientists have even found these incredible animals out at sea.].",The biggest snake in the world is the Green Anaconda. It can grow up to 29 feet and weighs over 550 pounds.
57,What is the name of the biggest flower in the world?,The name of the biggest flower in the world is [QA('What is the name of the biggest flower in the world?')].,The name of the biggest flower in the world is [Rafflesia arnoldii].,"The name of the biggest flower in the world is Rafflesia arnoldii, also known as the ""corpse flower"". It can grow up to three feet across and weigh up to 15 pounds."
58,What is the name of the biggest butterfly in the world?,"The Queen Alexandra's birdwing ([QA('What is the name of the butterfly?')]) is the largest butterfly in the world, with a wingspan of up to [QA('What is the wingspan of the Queen Alexandra butterfly?')]. It is native to Papua New Guinea.","The Queen Alexandra's birdwing ([[This type of question is not supported yet]]) is the largest butterfly in the world, with a wingspan of up to [10 inches]. It is native to Papua New Guinea.",The name of the biggest butterfly in the world is the Queen Alexandra's Birdwing. It is found in the rainforests of Papua New Guinea and has a wingspan of up to 30 cm.
59,What is the capital of Australia?,The capital of Australia is [QA('What is the capital of Australia?')].,The capital of Australia is [Canberra].,The capital of Australia is Canberra.
60,Who painted the The Creation of Adam?,"The Creation of Adam is a fresco painting by [QA('Who painted the Sistine Chapel ceiling?')], which is located in the Sistine Chapel in [QA('Where the Sistine Chapel is located?')].","The Creation of Adam is a fresco painting by [Michelangelo], which is located in the Sistine Chapel in [[This type of question is not supported yet]].","The Creation of Adam was painted by Michelangelo between 1508 and 1512, and it is a fresco painting on the ceiling of the Sistine Chapel in Vatican City, Rome, Italy."
61,What is the name of the biggest city in the world?,"Currently, the biggest city in the world by population is [QA('What is the name of the biggest city in the world by population?')].","Currently, the biggest city in the world by population is [Shanghai, China].","The biggest city in the world, in terms of population, is Tokyo, Japan, with a population of over 37 million people."
62,Who wrote the novel The Catcher in the Rye?,The novel The Catcher in the Rye was written by the American author [QA('Who is the author of the novel The Catcher in the Rye?')].,The novel The Catcher in the Rye was written by the American author [J. D.Salinger's].,"The novel ""The Catcher in the Rye"" was written by J.D. Salinger."
63,What is the main language spoken in Egypt?,"The official language of Egypt is [QA('What is the official language of Egypt?')]. The majority of the population also speak [QA('What is the most widely spoken language in Egypt?')], which is an Arabic dialect.","The official language of Egypt is [[This type of question is not supported yet]]. The majority of the population also speak [The spoken languages are:], which is an Arabic dialect.","The main language spoken in Egypt is Egyptian Arabic, which is a dialect of the Arabic language."
64,What is the name of the biggest land animal in the world?,The name of the biggest land animal in the world is [QA('What is the name of the world largest land animal?')].,The name of the biggest land animal in the world is [African elephant].,The name of the biggest land animal in the world is the African Elephant.
65,Who discovered the double-helix structure of DNA?,The double-helix structure of DNA was discovered by [QA('Who discovered the structure of DNA?')].,The double-helix structure of DNA was discovered by [James Watson and Francis Crick].,The double-helix structure of DNA was discovered by James Watson and Francis Crick in 1953.
66,What is the name of the biggest moon in our solar system?,The name of the biggest moon in our solar system is Ganymede.,The name of the biggest moon in our solar system is Ganymede.,"The biggest moon in our solar system is called Ganymede. It is one of the four largest moons of Jupiter, and it is even bigger than the planet Mercury."
67,Who painted the The Night Watch?,The Night Watch was painted by [QA('Who painted The Night Watch?')].,The Night Watch was painted by [Rembrandt's largest and most famous painting was made for one of the three headquarters of Amsterdam's civic guard. These groups of civilian soldiers defended the city from attack.].,The Night Watch was painted by Rembrandt van Rijn in 1642. It is considered one of his most famous works and is currently housed in the Rijksmuseum in Amsterdam.
68,What is the name of the biggest spider in the world by leg span?,The name of the biggest spider in the world by leg span is the [QA('What is the name of the biggest spider in the world by leg span?')].,The name of the biggest spider in the world by leg span is the [giant huntsman spider Heteropoda maxima].,"The name of the biggest spider in the world by leg span is the Giant Huntsman Spider (scientific name: Heteropoda maxima), with a leg span of up to 30 centimeters (12 inches)."
69,What is the name of the largest reptile alive today?,The largest reptile alive today is the [QA('What is the name of the largest reptile currently living?')].,The largest reptile alive today is the [Komodo dragon].,"The name of the largest reptile alive today is the saltwater crocodile. It can grow up to 23 feet in length and weigh up to 2,200 pounds."
70,What is the capital of China?,The capital of China is [QA('What is the capital of China?')].,The capital of China is [[This type of question is not supported yet]].,The capital city of China is Beijing.
71,Who wrote the novel The Hobbit?,The novel The Hobbit was written by [QA('Who is the author of The Hobbit?')].,The novel The Hobbit was written by [J.R.R. Tolkien].,The novel The Hobbit was written by J.R.R. Tolkien.
72,What is the name of the biggest tree in the world?,The biggest tree in the world by volume is called [QA('What is the name of the biggest tree in the world?')].,"The biggest tree in the world by volume is called [The giant sequoia, Sequoiadendron giganteum: the biggest tree in the world | Natural History Museum.].","The name of the biggest tree in the world is the General Sherman tree, which is located in Sequoia National Park in California, USA."
73,Who discovered the electron?,The electron was discovered by [QA('Who discovered the electron?')].,The electron was discovered by [J.J.Thomson].,The electron was discovered by J.J. Thomson in 1897.
74,What is the name of the biggest bat in the world?,The name of the biggest bat in the world is the [QA('What is the name of the biggest bat in the world?')]. It is also known as the golden-capped fruit bat and is native to the Philippines.,The name of the biggest bat in the world is the [Flying foxes]. It is also known as the golden-capped fruit bat and is native to the Philippines.,"The name of the biggest bat in the world is the giant golden-crowned flying fox, which has a wingspan of up to 5.6 feet (1.7 meters) and can weigh up to 4 pounds (1.8 kilograms)."
75,What is the name of the biggest cave system in the world?,The biggest cave system in the world is [QA('What is the name of the biggest cave system in the world?')].,The biggest cave system in the world is [Mammoth Cave].,"The name of the biggest cave system in the world is the Mammoth Cave System in Kentucky, USA. It is more than 400 miles long and still growing as new passages are discovered."
76,What is the main language spoken in Indonesia?,The official language of Indonesia is [QA('What is the official language of Indonesia?')].,The official language of Indonesia is [Indonesian (locally referred to as Bahasa Indonesia)].,"The main language spoken in Indonesia is Indonesian, also known as Bahasa Indonesia."
77,Who invented the printing press?,The printing press was invented by [QA('Who invented the printing press?')].,The printing press was invented by [Johannes Gutenberg].,The printing press was invented by Johannes Gutenberg in the 15th century.
78,What is the name of the biggest rodent in the world?,The name of the biggest rodent in the world is [QA('What is the name of the biggest rodent in the world?')].,The name of the biggest rodent in the world is [The capybara].,The name of the biggest rodent in the world is capybara.
79,What is the name of the biggest antelope in the world?,The giant eland [QA('What is the scientific name of the giant eland?')] is the largest antelope in the world.,The giant eland [[This type of question is not supported yet]] is the largest antelope in the world.,The name of the biggest antelope in the world is the eland.
80,What is the capital of Japan?,The capital of Japan is [QA('What is the capital of Japan?')].,The capital of Japan is [[This type of question is not supported yet]].,The capital of Japan is Tokyo.
81,Who painted the The Garden of Earthly Delights?,"""The Garden of Earthly Delights"" was painted by [QA('Who painted ""The Garden of Earthly Delights"" painting?')].","""The Garden of Earthly Delights"" was painted by [Hieronymus Bosch].",The Garden of Earthly Delights was painted by Dutch artist Hieronymus Bosch around the year 1500.
82,What is the name of the biggest flower by weight?,"The heaviest flower in the world is the [QA('What is the name of the heaviest flower in the world?')], also known as the [QA('What is the scientific name of #x#?')]. It is native to the rainforests of [QA('Where is the Rafflesia arnoldii native to?')].","The heaviest flower in the world is the [Rafflesia arnoldii], also known as the [[This type of question is not supported yet]]. It is native to the rainforests of [the rainforests of Indonesia].","The Rafflesia arnoldii is considered the biggest flower in the world by weight, weighing up to 22 pounds."
83,Who discovered the laws of motion?,The laws of motion were discovered by [QA('Who discovered the laws of motion?')].,The laws of motion were discovered by [Sir Isaac Newton].,The laws of motion were discovered by Sir Isaac Newton in the 17th century.
84,What is the name of the biggest marsupial in the world?,The name of the biggest marsupial in the world is [QA('What is the name of the largest marsupial in the world?')].,The name of the biggest marsupial in the world is [Red Kangaroo].,"The name of the biggest marsupial in the world is the red kangaroo. It is also the largest marsupial in Australia, where it is found in most of the mainland's arid and semi-arid regions."
85,What is the name of the biggest beetle in the world?,The name of the biggest beetle in the world is [QA('What is the name of the biggest beetle in the world?')].,The name of the biggest beetle in the world is [What is the heaviest beetle in the world? The heaviest beetles in the world are a group of rhinoceros beetles called Megasoma. These animals are found in South and Central America. The Actaeon beetle (Megasoma actaeon) is the heaviest species.].,The name of the biggest beetle in the world is the Titanus giganteus beetle or Titan beetle. It can grow up to 6.5 inches (16.7 cm) in length and is found in the rainforests of South America.
86,What is the name of the biggest bear in the world?,The [QA('What is the name of the largest species of bear?')] is the largest bear in the world.,The [Kodiak bears] is the largest bear in the world.,The biggest bear in the world is the polar bear.
87,What is the main language spoken in Nigeria?,"The official language of Nigeria is [QA('What is the official language of Nigeria?')]. However, there are over [QA('How many languages are spoken in Nigeria?')] indigenous languages spoken in the country, with [QA('What is the most widely spoken language in Nigeria?')] being the most widely spoken.","The official language of Nigeria is [English]. However, there are over [over 500] indigenous languages spoken in the country, with [[This type of question is not supported yet]] being the most widely spoken.","The main language spoken in Nigeria is English. However, there are over 500 different languages spoken by various ethnic groups in the country, with the most widely spoken being Hausa, Yoruba, and Igbo."
88,Who invented the first computer?,The first electronic computer was invented by [QA('Who invented the first electronic computer?')] in 1945.,"The first electronic computer was invented by [American physicist John Mauchly, American engineer J. Presper Eckert, Jr., and their colleagues at the Moore School of Electrical Engineering at the University of Pennsylvania led a government-funded project to build an all-electronic computer.] in 1945.","The first computer was not invented by a single person, but rather through a series of developments over time. However, Charles Babbage is often credited as the ""father of the computer"" due to his work on the design of the Analytical Engine in the mid-1800s, which was a mechanical machine capable of performing mathematical calculations. The first electronic computer, called the Electronic Numerical Integrator and Computer (ENIAC), was developed by John Mauchly and J. Presper Eckert in the United States in the 1940s."
89,What is the name of the biggest seahorse in the world?,"I'm sorry, but there is no world record or known species of seahorse that is considered the biggest seahorse in the world. However, the [QA('What is the largest species of seahorse?')] is the big-bellied seahorse, also known as the pot-bellied seahorse, which can grow up to [QA('What is the maximum size of a big-bellied seahorse?')].","I'm sorry, but there is no world record or known species of seahorse that is considered the biggest seahorse in the world. However, the [Big-belly Seahorses, which are also known as pot-bellied seahorses, grow to a maximum length of 35 cm. Their average length of about 18 to 28 cm makes them the largest seahorse species in the world.] is the big-bellied seahorse, also known as the pot-bellied seahorse, which can grow up to [35 cm].",The biggest seahorse in the world is the Pot-bellied seahorse or Hippocampus abdominalis.
90,What is the name of the biggest squid in the world?,The name of the largest squid in the world is [QA('What is the scientific name of the largest squid in the world?')]. It can grow up to [QA('What is the maximum size that the biggest squid in the world can grow up to?')].,The name of the largest squid in the world is [[This type of question is not supported yet]]. It can grow up to [43 feet (13 meters) long].,"The name of the biggest squid in the world is the giant squid (Architeuthis dux), which can grow to be up to 43 feet (13 meters) long."
91,What is the name of the biggest freshwater fish in the world?,The name of the biggest freshwater fish in the world is [QA('What is the name of the biggest freshwater fish in the world?')].,The name of the biggest freshwater fish in the world is [beluga sturgeon].,The name of the biggest freshwater fish in the world is the arapaima.
92,What is the capital of South Africa?,The capital of South Africa is [QA('What is the capital of South Africa?')].,The capital of South Africa is [[This type of question is not supported yet]].,The capital of South Africa is Pretoria.
93,Who painted the The Hay Wagon?,"""The Hay Wagon"" is a painting by [QA('Who painted The Hay Wagon?')].","""The Hay Wagon"" is a painting by [[This type of question is not supported yet]].",The Hay Wagon is a painting by American artist Grant Wood.
94,What is the name of the biggest penguin in the world?,The name of the biggest penguin in the world is [QA('What is the name of the largest penguin?')].,The name of the biggest penguin in the world is [Emperors].,"The biggest penguin in the world is the Emperor Penguin (Aptenodytes forsteri), which can grow up to 4 feet (1.2 meters) tall and weigh up to 75 pounds (34 kilograms)."
95,Who discovered X-rays?,[QA('Who discovered X-rays?')],[W.C.Röntgen],"X-rays were discovered by Wilhelm Conrad Roentgen, a German physicist, on November 8, 1895."
96,What is the name of the biggest lizard in the world?,The name of the biggest lizard in the world is [QA('What is the name of the biggest lizard in the world?')].,The name of the biggest lizard in the world is [Komodo dragon].,The name of the biggest lizard in the world is the Komodo dragon.
97,What is the name of the biggest marsupial by size?,The name of the biggest marsupial by size is the [QA('What is the name of the largest marsupial by size?')].,The name of the biggest marsupial by size is the [Red Kangaroo].,The name of the biggest marsupial by size is the red kangaroo.
98,What is the name of the biggest living species of turtle?,The biggest species of living turtles is the [QA('What is the name of the biggest living species of turtle?')].,The biggest species of living turtles is the [The leatherback].,The name of the biggest living species of turtle is the leatherback sea turtle (Dermochelys coriacea).
99,Who invented the World Wide Web?,The World Wide Web was created by [QA('Who is the inventor of the World Wide Web?')].,The World Wide Web was created by [Tim Berners-Lee].,The World Wide Web was invented by Sir Tim Berners-Lee in 1989 while working at CERN (European Organization for Nuclear Research).
