id,question,our_model_answer_bAPI,our_model_answer_aAPI,gpt_answer,,
14,What is the name of the biggest river in Africa?,The name of the biggest river in Africa is [QA('What is the name of the biggest river in Africa?')].,The name of the biggest river in Africa is [The Nile].,"The name of the biggest river in Africa is Nile. It is about 6,650 kilometers (4,100 miles) in length and it flows through eleven countries of Africa, including Egypt, Sudan, Ethiopia, Uganda, and Kenya.",,
15,What is the currency of India?,The currency of India is the [QA('What is the currency of India?')].,The currency of India is the [The rupee].,The currency of India is Indian rupee (INR).,,
16,Who painted the The Last Supper?,The Last Supper was painted by [QA('Who painted The Last Supper painting?')].,The Last Supper was painted by [Leonardo da Vinci].,"""The Last Supper"" was painted by Leonardo da Vinci.",,
17,Who wrote the novel To Kill a Mockingbird?,"""To Kill a Mockingbird"" was written by [QA('Who is the author of the novel To Kill a Mockingbird?')].","""To Kill a Mockingbird"" was written by [Harper Lee].",The novel To Kill a Mockingbird was written by Harper Lee.,,
18,What is the name of the biggest waterfall in the world?,The biggest waterfall in the world is called [QA('What is the name of the biggest waterfall in the world?')].,The biggest waterfall in the world is called [Angel Falls].,"The biggest waterfall in the world is called Angel Falls. It is located in Venezuela and has a height of 979 meters (3,212 feet).",,
19,What is the main language spoken in Russia?,The main language spoken in Russia is [QA('What is the official language of Russia?')].,The main language spoken in Russia is [Russian language].,The main language spoken in Russia is Russian.,,
20,Who discovered penicillin?,The discovery of penicillin is credited to [QA('Who discovered penicillin?')].,The discovery of penicillin is credited to [Dr Alexander Fleming].,Penicillin was discovered by Sir Alexander Fleming in 1928.,,
21,What is the name of the highest waterfall in the world?,The highest waterfall in the world is [QA('What is the name of the highest waterfall in the world?')].,The highest waterfall in the world is [Angel Falls].,"The name of the highest waterfall in the world is Angel Falls. It is located in the Canaima National Park in the Gran Sabana region of Venezuela, and it has a total height of 979 meters (3,212 feet) and a plunge of 807 meters (2,648 feet).",,
22,What is the name of the biggest lake in the world?,The biggest lake in the world by volume is the [QA('What is the name of the biggest lake in the world by volume?')].,The biggest lake in the world by volume is the [Lake Baikal].,The name of the biggest lake in the world is the Caspian Sea.,1,
23,Who painted the Girl with a Pearl Earring?,The Girl with a Pearl Earring was painted by [QA('Who painted the Girl with a Pearl Earring?')].,The Girl with a Pearl Earring was painted by [Johannes Vermeer].,The Girl with a Pearl Earring was painted by the Dutch artist Johannes Vermeer in 1665.,,
24,What is the name of the largest mountain range in the world?,The name of the largest mountain range in the world is the [QA('What is the name of the largest mountain range in the world?')].,The name of the largest mountain range in the world is the [mid-ocean ridge].,"The largest mountain range in the world is the Andes, located in South America. It stretches for over 4,300 miles (7,000 kilometers) along the western coast of the continent.",-1,
25,Who wrote the play Romeo and Juliet?,The play Romeo and Juliet was written by [QA('Who is the author of Romeo and Juliet?')].,The play Romeo and Juliet was written by [Shakespeare].,The play Romeo and Juliet was written by William Shakespeare.,,
26,Who discovered the theory of relativity?,"The theory of relativity was [QA(""Who discovered the theory of relativity?"")] by a famous physicist named [QA(""What is the name of the physicist who formulated the theory of relativity?"")].",The theory of relativity was [Albert Einstein] by a famous physicist named [Albert Einstein].,"Albert Einstein discovered the theory of relativity in 1905 and 1915. There are two main types of relativity, special relativity and general relativity. Special relativity deals with the behavior of objects in motion and was introduced in 1905. General relativity deals with gravity and the curvature of spacetime and was introduced in 1915.",,
27,What is the name of the biggest palace in the world?,The biggest palace in the world is the [QA('What is the name of the biggest palace in the world?')].,The biggest palace in the world is the [Forbidden City].,"The name of the world's largest palace is the Palace of the Parliament in Bucharest, Romania. It covers an area of over 365,000 square meters and has more than 1,000 rooms.",1,
28,What is the capital of Spain?,[QA('What is the capital of Spain?')],[[This type of question is not supported yet]],The capital of Spain is Madrid.,,
29,What is the name of the biggest animal in the world?,The biggest animal in the world is the [QA('What is the name of the biggest animal in the world?')].,The biggest animal in the world is the [Antarctic blue whale].,The biggest animal in the world is the blue whale.,,
30,Who wrote the novel War and Peace?,The novel War and Peace was written by [QA('Who wrote War and Peace?')].,The novel War and Peace was written by [Leo Tolstoy].,The novel War and Peace was written by Leo Tolstoy.,,
31,What is the name of the biggest bird in the world?,The name of the biggest bird in the world is [QA('What is the name of the largest bird in the world?')].,The name of the biggest bird in the world is [the ostrich].,The name of the biggest bird in the world is the ostrich.,,
32,What is the name of the biggest fish in the world?,The biggest fish in the world is the [QA('What is the name of the biggest fish?')] and it can be found in [QA('Where can whale sharks be found?')].,The biggest fish in the world is the [Rhincodon typus or whale shark] and it can be found in [Australia is one of the most reliable locations to find whale sharks].,The name of the biggest fish in the world is the whale shark.,,
33,What is the main language spoken in Germany?,The official language spoken in Germany is [QA('What is the official language of Germany?')].,The official language spoken in Germany is [German].,The main language spoken in Germany is German.,,
34,Who discovered the law of gravity?,The law of gravity was discovered by [QA('Who discovered the law of gravity?')].,The law of gravity was discovered by [Isaac Newton].,The law of gravity was discovered by Sir Isaac Newton in the 17th century.,,
35,What is the name of the biggest reptile in the world?,The name of the biggest reptile in the world is the [QA('What is the name of the biggest reptile in the world?')].,The name of the biggest reptile in the world is the [Saltwater crocodiles].,The name of the biggest reptile in the world is the saltwater crocodile (also known as estuarine crocodile or saltie).,,
36,What is the name of the biggest mammal in the world?,The name of the biggest mammal in the world is [QA('What is the name of the biggest mammal in the world?')].,The name of the biggest mammal in the world is [Antarctic blue whale].,The biggest mammal in the world is the Blue Whale.,,
37,What is the capital of Italy?,The capital of Italy is [QA('What is the capital of Italy?')].,The capital of Italy is [Rome].,The capital city of Italy is Rome.,,
38,What is the name of the biggest herbivorous dinosaur?,The name of the biggest herbivorous dinosaur is [QA('What is the name of the biggest herbivorous dinosaur?')].,The name of the biggest herbivorous dinosaur is [Argentinosaurus].,The name of the biggest herbivorous dinosaur is Argentinosaurus.,,
39,Who wrote the novel Don Quixote?,The novel Don Quixote was written by [QA('Who is the author of Don Quixote?')].,"The novel Don Quixote was written by [The remarkable life of Miguel de Cervantes and how it shaped his timeless tale, 'Don Quixote'].",The novel Don Quixote was written by Miguel de Cervantes.,,
40,What is the name of the biggest spider in the world?,The name of the biggest spider in the world is [QA('What is the name of the largest spider?')].,The name of the biggest spider in the world is [goliath bird-eater].,"The Goliath birdeater spider is considered the largest spider in the world by mass, weighing up to 6.2 ounces. It can have a leg span of up to 12 inches.",,
41,What is the name of the biggest snake in the world?,The biggest snake in the world is the [QA('What is the name of the biggest snake in the world?')].,"The biggest snake in the world is the [Reticulated Python Reticulated pythons are considered to be the longest snake. The world record for the length of a reticulated python is a whopping 32 ft and 9 ½ inches! Like the green anaconda, they are also excellent swimmers. Scientists have even found these incredible animals out at sea.].",The biggest snake in the world is the Green Anaconda. It can grow up to 29 feet and weighs over 550 pounds.,1,
42,What is the name of the biggest flower in the world?,The name of the biggest flower in the world is [QA('What is the name of the biggest flower in the world?')].,The name of the biggest flower in the world is [Rafflesia arnoldii].,"The name of the biggest flower in the world is Rafflesia arnoldii, also known as the ""corpse flower"". It can grow up to three feet across and weigh up to 15 pounds.",,
43,What is the capital of Australia?,The capital of Australia is [QA('What is the capital of Australia?')].,The capital of Australia is [Canberra].,The capital of Australia is Canberra.,,
44,What is the name of the biggest city in the world?,"Currently, the biggest city in the world by population is [QA('What is the name of the biggest city in the world by population?')].","Currently, the biggest city in the world by population is [Shanghai, China].","The biggest city in the world, in terms of population, is Tokyo, Japan, with a population of over 37 million people.",-1,
45,Who wrote the novel The Catcher in the Rye?,The novel The Catcher in the Rye was written by the American author [QA('Who is the author of the novel The Catcher in the Rye?')].,The novel The Catcher in the Rye was written by the American author [J. D.Salinger's].,"The novel ""The Catcher in the Rye"" was written by J.D. Salinger.",,
46,What is the name of the biggest land animal in the world?,The name of the biggest land animal in the world is [QA('What is the name of the world largest land animal?')].,The name of the biggest land animal in the world is [African elephant].,The name of the biggest land animal in the world is the African Elephant.,,
47,Who discovered the double-helix structure of DNA?,The double-helix structure of DNA was discovered by [QA('Who discovered the structure of DNA?')].,The double-helix structure of DNA was discovered by [James Watson and Francis Crick].,The double-helix structure of DNA was discovered by James Watson and Francis Crick in 1953.,,
48,What is the name of the biggest moon in our solar system?,The name of the biggest moon in our solar system is Ganymede.,The name of the biggest moon in our solar system is Ganymede.,"The biggest moon in our solar system is called Ganymede. It is one of the four largest moons of Jupiter, and it is even bigger than the planet Mercury.",,
49,Who painted the The Night Watch?,The Night Watch was painted by [QA('Who painted The Night Watch?')].,The Night Watch was painted by [Rembrandt's largest and most famous painting was made for one of the three headquarters of Amsterdam's civic guard. These groups of civilian soldiers defended the city from attack.].,The Night Watch was painted by Rembrandt van Rijn in 1642. It is considered one of his most famous works and is currently housed in the Rijksmuseum in Amsterdam.,,
50,What is the name of the biggest spider in the world by leg span?,The name of the biggest spider in the world by leg span is the [QA('What is the name of the biggest spider in the world by leg span?')].,The name of the biggest spider in the world by leg span is the [giant huntsman spider Heteropoda maxima].,"The name of the biggest spider in the world by leg span is the Giant Huntsman Spider (scientific name: Heteropoda maxima), with a leg span of up to 30 centimeters (12 inches).",,
51,What is the name of the largest reptile alive today?,The largest reptile alive today is the [QA('What is the name of the largest reptile currently living?')].,The largest reptile alive today is the [Komodo dragon].,"The name of the largest reptile alive today is the saltwater crocodile. It can grow up to 23 feet in length and weigh up to 2,200 pounds.",-1,Biggest lizard
52,Who wrote the novel The Hobbit?,The novel The Hobbit was written by [QA('Who is the author of The Hobbit?')].,The novel The Hobbit was written by [J.R.R. Tolkien].,The novel The Hobbit was written by J.R.R. Tolkien.,,
53,What is the name of the biggest tree in the world?,The biggest tree in the world by volume is called [QA('What is the name of the biggest tree in the world?')].,"The biggest tree in the world by volume is called [The giant sequoia, Sequoiadendron giganteum: the biggest tree in the world | Natural History Museum.].","The name of the biggest tree in the world is the General Sherman tree, which is located in Sequoia National Park in California, USA.",-1,Biggest tree type
54,Who discovered the electron?,The electron was discovered by [QA('Who discovered the electron?')].,The electron was discovered by [J.J.Thomson].,The electron was discovered by J.J. Thomson in 1897.,,
55,What is the name of the biggest bat in the world?,The name of the biggest bat in the world is the [QA('What is the name of the biggest bat in the world?')]. It is also known as the golden-capped fruit bat and is native to the Philippines.,The name of the biggest bat in the world is the [Flying foxes]. It is also known as the golden-capped fruit bat and is native to the Philippines.,"The name of the biggest bat in the world is the giant golden-crowned flying fox, which has a wingspan of up to 5.6 feet (1.7 meters) and can weigh up to 4 pounds (1.8 kilograms).",,
56,What is the name of the biggest cave system in the world?,The biggest cave system in the world is [QA('What is the name of the biggest cave system in the world?')].,The biggest cave system in the world is [Mammoth Cave].,"The name of the biggest cave system in the world is the Mammoth Cave System in Kentucky, USA. It is more than 400 miles long and still growing as new passages are discovered.",,
57,What is the main language spoken in Indonesia?,The official language of Indonesia is [QA('What is the official language of Indonesia?')].,The official language of Indonesia is [Indonesian (locally referred to as Bahasa Indonesia)].,"The main language spoken in Indonesia is Indonesian, also known as Bahasa Indonesia.",,
58,Who invented the printing press?,The printing press was invented by [QA('Who invented the printing press?')].,The printing press was invented by [Johannes Gutenberg].,The printing press was invented by Johannes Gutenberg in the 15th century.,,
59,What is the name of the biggest rodent in the world?,The name of the biggest rodent in the world is [QA('What is the name of the biggest rodent in the world?')].,The name of the biggest rodent in the world is [The capybara].,The name of the biggest rodent in the world is capybara.,,
60,Who painted the The Garden of Earthly Delights?,"""The Garden of Earthly Delights"" was painted by [QA('Who painted ""The Garden of Earthly Delights"" painting?')].","""The Garden of Earthly Delights"" was painted by [Hieronymus Bosch].",The Garden of Earthly Delights was painted by Dutch artist Hieronymus Bosch around the year 1500.,,
61,Who discovered the laws of motion?,The laws of motion were discovered by [QA('Who discovered the laws of motion?')].,The laws of motion were discovered by [Sir Isaac Newton].,The laws of motion were discovered by Sir Isaac Newton in the 17th century.,,
62,What is the name of the biggest marsupial in the world?,The name of the biggest marsupial in the world is [QA('What is the name of the largest marsupial in the world?')].,The name of the biggest marsupial in the world is [Red Kangaroo].,"The name of the biggest marsupial in the world is the red kangaroo. It is also the largest marsupial in Australia, where it is found in most of the mainland's arid and semi-arid regions.",,
63,What is the name of the biggest beetle in the world?,The name of the biggest beetle in the world is [QA('What is the name of the biggest beetle in the world?')].,The name of the biggest beetle in the world is [What is the heaviest beetle in the world? The heaviest beetles in the world are a group of rhinoceros beetles called Megasoma. These animals are found in South and Central America. The Actaeon beetle (Megasoma actaeon) is the heaviest species.].,The name of the biggest beetle in the world is the Titanus giganteus beetle or Titan beetle. It can grow up to 6.5 inches (16.7 cm) in length and is found in the rainforests of South America.,-1,
64,Who invented the first computer?,The first electronic computer was invented by [QA('Who invented the first electronic computer?')] in 1945.,"The first electronic computer was invented by [American physicist John Mauchly, American engineer J. Presper Eckert, Jr., and their colleagues at the Moore School of Electrical Engineering at the University of Pennsylvania led a government-funded project to build an all-electronic computer.] in 1945.","The first computer was not invented by a single person, but rather through a series of developments over time. However, Charles Babbage is often credited as the ""father of the computer"" due to his work on the design of the Analytical Engine in the mid-1800s, which was a mechanical machine capable of performing mathematical calculations. The first electronic computer, called the Electronic Numerical Integrator and Computer (ENIAC), was developed by John Mauchly and J. Presper Eckert in the United States in the 1940s.",,
65,What is the name of the biggest seahorse in the world?,"I'm sorry, but there is no world record or known species of seahorse that is considered the biggest seahorse in the world. However, the [QA('What is the largest species of seahorse?')] is the big-bellied seahorse, also known as the pot-bellied seahorse, which can grow up to [QA('What is the maximum size of a big-bellied seahorse?')].","I'm sorry, but there is no world record or known species of seahorse that is considered the biggest seahorse in the world. However, the [Big-belly Seahorses, which are also known as pot-bellied seahorses, grow to a maximum length of 35 cm. Their average length of about 18 to 28 cm makes them the largest seahorse species in the world.] is the big-bellied seahorse, also known as the pot-bellied seahorse, which can grow up to [35 cm].",The biggest seahorse in the world is the Pot-bellied seahorse or Hippocampus abdominalis.,,
66,What is the name of the biggest freshwater fish in the world?,The name of the biggest freshwater fish in the world is [QA('What is the name of the biggest freshwater fish in the world?')].,The name of the biggest freshwater fish in the world is [beluga sturgeon].,The name of the biggest freshwater fish in the world is the arapaima.,1,
67,What is the name of the biggest penguin in the world?,The name of the biggest penguin in the world is [QA('What is the name of the largest penguin?')].,The name of the biggest penguin in the world is [Emperors].,"The biggest penguin in the world is the Emperor Penguin (Aptenodytes forsteri), which can grow up to 4 feet (1.2 meters) tall and weigh up to 75 pounds (34 kilograms).",,
68,Who discovered X-rays?,[QA('Who discovered X-rays?')],[W.C.Röntgen],"X-rays were discovered by Wilhelm Conrad Roentgen, a German physicist, on November 8, 1895.",,
69,What is the name of the biggest lizard in the world?,The name of the biggest lizard in the world is [QA('What is the name of the biggest lizard in the world?')].,The name of the biggest lizard in the world is [Komodo dragon].,The name of the biggest lizard in the world is the Komodo dragon.,,
70,What is the name of the biggest marsupial by size?,The name of the biggest marsupial by size is the [QA('What is the name of the largest marsupial by size?')].,The name of the biggest marsupial by size is the [Red Kangaroo].,The name of the biggest marsupial by size is the red kangaroo.,,
71,What is the name of the biggest living species of turtle?,The biggest species of living turtles is the [QA('What is the name of the biggest living species of turtle?')].,The biggest species of living turtles is the [The leatherback].,The name of the biggest living species of turtle is the leatherback sea turtle (Dermochelys coriacea).,,
72,Who invented the World Wide Web?,The World Wide Web was created by [QA('Who is the inventor of the World Wide Web?')].,The World Wide Web was created by [Tim Berners-Lee].,The World Wide Web was invented by Sir Tim Berners-Lee in 1989 while working at CERN (European Organization for Nuclear Research).,,
73,What color does gold leaf appear if you hold it up to the light?,Gold leaf appears [QA('What color does pure gold appear?')] when held up to the light.,Gold leaf appears [greenish] when held up to the light.,"Gold leaf appears translucent when held up to the light, with a warm golden color. The exact shade of gold can depend on factors such as the thickness of the leaf and the type of light source.",1,
74,What is the family name of the ruling dynasty of Monaco?,The family name of the ruling dynasty of Monaco is [QA('What is the name of the ruling family of Monaco?')].,The family name of the ruling dynasty of Monaco is [House of Grimaldi].,The family name of the ruling dynasty of Monaco is Grimaldi.,,
75,In which branch of the arts is Katherine Dunham famous?,Katherine Dunham is famous for her contributions to the field of [QA('What is Katherine Dunham famous for?')].,Katherine Dunham is famous for her contributions to the field of [dancer-choreographer].,"Katherine Dunham was famous for her extensive work in dance, particularly in modern dance and choreography. She was also a choreographer, teacher, and founder of the Katherine Dunham Dance Company. Additionally, she was an anthropologist, who researched and integrated elements of dance from various cultures into her works.",,
76,Which was the only painting sold by Vincent Van Gogh during his life?,The only painting sold by Vincent Van Gogh during his life was [QA('What is the name of the only painting sold by Van Gogh during his life?')].,The only painting sold by Vincent Van Gogh during his life was [The Red Vineyard].,"The only painting sold by Vincent Van Gogh during his lifetime was ""The Red Vineyard"" (1888). It was sold to Anna Boch, a Belgian artist and collector, for 400 francs in 1890.",,
77,What was the first movie to be rated PG-13?,The first movie to be rated PG-13 was [QA('What is the name of the first movie to be rated PG-13?')].,The first movie to be rated PG-13 was [Red Dawn].,"The first movie to be rated PG-13 was ""Red Dawn"" directed by John Milius, and released in 1984.",,
78,What geothermal Icelandic site has the same name as a 1980 movie?,The geothermal Icelandic site that has the same name as a 1980 movie is [QA('What is the name of the geothermal site in Iceland with the same name as a 1980 movie?')].,The geothermal Icelandic site that has the same name as a 1980 movie is [Blue Lagoon].,"The geothermal Icelandic site which has the same name as a 1980 movie is ""Blue Lagoon"".",,
79,What comedy became the first film directed by a woman to gross over $100 million at the box office?,"The comedy film ""Pitch Perfect 2"" became the first film directed by a woman to gross over $100 million at the box office.","The comedy film ""Pitch Perfect 2"" became the first film directed by a woman to gross over $100 million at the box office.","The comedy that became the first film directed by a woman to gross over $100 million at the box office is ""Big"" directed by Penny Marshall.",,
80,Sahti is a type of beer that’s trad­itionally flavored with juniper. Which country would you be most likely to find it in?,"Sahti is a traditional beer style from [QA('Where is Sahti beer traditionally from?')], which is commonly flavored with juniper berries.","Sahti is a traditional beer style from [Finland], which is commonly flavored with juniper berries.",Sahti is a traditional beer style from Finland that is flavored with juniper. ,,
81,What insect has the shortest life span?,The insect with the shortest lifespan is the [QA('What insect has the shortest lifespan?')].,The insect with the shortest lifespan is the [Dolania americana].,"The mayfly has the shortest lifespan among insects, living for only about 24 hours.",,
82,John Wesley founded what Christian denomination in 1738?,John Wesley founded the [QA('What Christian denomination did John Wesley found?')] in 1738.,"John Wesley founded the [Charles Wesley, (born December 18, 1707, Epworth, Lincolnshire, England—died March 29, 1788, London), English clergyman, poet, and hymn writer who, with his elder brother John, started the Methodist movement in the Church of England.] in 1738.",John Wesley founded the Methodist Church in 1738.,,
83,Who discovered the life or death importance of washing hands while studying maternity wards?,[QA('Who discovered the life-saving importance of washing hands?')] discovered the life-saving importance of washing hands while studying maternity wards.,[Ignaz Semmelweis] discovered the life-saving importance of washing hands while studying maternity wards.,"Dr. Ignaz Semmelweis discovered the life or death importance of washing hands while studying maternity wards in Vienna, Austria in the mid-1800s. Semmelweis observed that women giving birth in hospitals with medical students and doctors were more likely to die from infection than those who gave birth at home or with midwives. He concluded that the cause of the high mortality rates was the doctors not washing their hands between patients, and that washing hands with a chlorinated lime solution dramatically reduced the number of deaths. However, his discovery was not widely accepted in the medical community at the time.",,
84,"In the Gilded Age, who was called the “witch of Wallstreet.” She apparently only wore black and left behind a fortune worth $100 million.;","The woman you are referring to is [QA('What was the name of the woman known as the ""witch of Wallstreet?""')].",The woman you are referring to is [Henrietta “Hetty” Howland Robinson Green].,"The ""witch of Wall Street"" was a woman named Hetty Green, who was a wealthy investor and businesswoman during the Gilded Age. She was notorious for her frugality, often wearing the same black dress every day, and for her shrewd investment practices. Despite being criticized for her penny-pinching ways, Green amassed a fortune worth around $100 million by the time of her death in 1916.",,
85,Which bird has the largest wingspan of any living bird?,The bird which has the largest wingspan of any living bird is called the Wandering Albatross with a wingspan of up to [QA('What is the wingspan range of Wandering Albatross?')].,The bird which has the largest wingspan of any living bird is called the Wandering Albatross with a wingspan of up to [up to 11 feet].,The Wandering Albatross has the largest wingspan of any living bird. They have an average wingspan of around 11 feet (3.5 meters).,,
86,Who was the first Time Magazine “Man of the Year”?,"The first Time Magazine ""Man of the Year"" was [QA('Who was the first Time Magazine ""Man of the Year""?')].","The first Time Magazine ""Man of the Year"" was [Charles Lindberg].","The first Time Magazine ""Man of the Year"" was aviator Charles Lindbergh in 1927.",,
87,What is the only king in a deck of cards without a mustache?,The king in a deck of cards without a mustache is the [QA('Which king in a deck of cards is without mustache?')].,The king in a deck of cards without a mustache is the [The king of hearts].,The king of hearts is the only king in a deck of cards without a mustache.,,
88,The Treaty of Ghent was the peace treaty that ended which war?,The Treaty of Ghent is a peace treaty that ended the [QA('Which war did the Treaty of Ghent end?')].,The Treaty of Ghent is a peace treaty that ended the [War of 1812].,The Treaty of Ghent was the peace treaty that ended the War of 1812 between the United States of America and Great Britain.,,
89,"Jimi Hendrix, Janis Joplin, Jim Morrison, and Amy Winehouse all died at what age?;","Jimi Hendrix, Janis Joplin, and Jim Morrison all died at the age of [QA('At what age did Jimi Hendrix, Janis Joplin, and Jim Morrison die?')]. Amy Winehouse also died at a young age, but her age at death was [QA('At what age did Amy Winehouse pass away?')].","Jimi Hendrix, Janis Joplin, and Jim Morrison all died at the age of [27]. Amy Winehouse also died at a young age, but her age at death was [27].","Jimi Hendrix, Janis Joplin, and Jim Morrison all died at the age of 27, which led to the popular term ""27 Club"" to refer to famous musicians who died at that age. Amy Winehouse also died at the same age, 27.",,
90,Which planet has moons that are nearly all named after Shakespearean characters?,The planet [QA('Which planet has moons that are nearly all named after Shakespearean characters?')] has a number of moons named after characters from William Shakespeare's plays.,The planet [Uranus] has a number of moons named after characters from William Shakespeare's plays.,"The planet Uranus has moons that are nearly all named after Shakespearean characters. Some of these moons include Miranda, Ariel, Umbriel, Titania, and Oberon.",,
91,Peter and the Wolf is a musical composition written by which Russian composer?,[QA('Who composed Peter and the Wolf?')] composed the musical composition Peter and the Wolf.,[Sergei Prokofiev's] composed the musical composition Peter and the Wolf.,"The musical composition ""Peter and the Wolf"" was written by the Russian composer Sergei Prokofiev.",,
92,Which two countries are connected by the Karakoram Pass?,The Karakoram Pass connects [QA('Which two countries Karakoram Pass connects?')].,The Karakoram Pass connects [India and China].,The Karakoram Pass connects China and India.,,
,,,0.945652174,0.934782609,1,
